Symbol,shortName,fullTimeEmployees,logo_url,company_sector_dim.Index,Index_Loc
EW,Edwards Lifesciences Corporatio,15700,https://logo.clearbit.com/edwards.com,7,113
BF.B,,,,,
BRK.B,,,,,
ELV,"Elevance Health, Inc.",,,,
EXR,Extra Space Storage Inc,4309,https://logo.clearbit.com/extraspace.com,68,114
F,Ford Motor Company,183000,https://logo.clearbit.com/ford.com,72,115
FANG,"Diamondback Energy, Inc. - Comm",870,https://logo.clearbit.com/diamondbackenergy.com,30,116
FAST,Fastenal Company,18958,https://logo.clearbit.com/fastenal.com,73,117
FCX,"Freeport-McMoRan, Inc.",24700,https://logo.clearbit.com/fcx.com,75,118
FE,FirstEnergy Corp.,12395,https://logo.clearbit.com/firstenergycorp.com,14,119
FISV,"Fiserv, Inc.",44000,https://logo.clearbit.com/fiserv.com,8,120
FRT,Federal Realty Investment Trust,310,https://logo.clearbit.com/federalrealty.com,77,121
FTNT,"Fortinet, Inc.",10195,https://logo.clearbit.com/fortinet.com,9,122
FTV,Fortive Corporation,18000,https://logo.clearbit.com/fortive.com,78,123
GD,General Dynamics Corporation,103100,https://logo.clearbit.com/gd.com,40,124
GILD,"Gilead Sciences, Inc.",14400,https://logo.clearbit.com/gilead.com,5,125
GL,Globe Life Inc.,3222,https://logo.clearbit.com/globelifeinsurance.com,16,126
GLW,Corning Incorporated,61200,https://logo.clearbit.com/corning.com,31,127
GNRC,Generac Holdlings Inc.,8955,https://logo.clearbit.com/generac.com,25,128
GOOG,Alphabet Inc.,163906,https://logo.clearbit.com/abc.xyz,79,129
GOOGL,Alphabet Inc.,163906,https://logo.clearbit.com/abc.xyz,79,129
INTU,Intuit Inc.,13500,https://logo.clearbit.com/intuit.com,13,129
GRMN,Garmin Ltd.,18700,https://logo.clearbit.com/garmin.com,78,130
GWW,"W.W. Grainger, Inc.",22700,https://logo.clearbit.com/grainger.com,73,131
HAS,"Hasbro, Inc.",6640,https://logo.clearbit.com/hasbro.com,81,132
HCA,"HCA Healthcare, Inc.",204000,https://logo.clearbit.com/hcahealthcare.com,69,133
HIG,Hartford Financial Services Gro,18100,https://logo.clearbit.com/thehartford.com,17,134
HII,"Huntington Ingalls Industries,",44000,https://logo.clearbit.com/huntingtoningalls.com,40,135
HPQ,HP Inc.,51000,https://logo.clearbit.com/hp.com,29,136
HRL,Hormel Foods Corporation,20000,https://logo.clearbit.com/hormelfoods.com,45,137
HSIC,"Henry Schein, Inc.",21600,https://logo.clearbit.com/henryschein.com,6,138
HST,Host Hotels,160,https://logo.clearbit.com/hosthotels.com,85,139
HSY,The Hershey Company,16620,https://logo.clearbit.com/thehersheycompany.com,86,140
HUM,Humana Inc.,95500,https://logo.clearbit.com/humana.com,57,141
HWM,Howmet Aerospace Inc.,19900,https://logo.clearbit.com/howmet.com,25,142
IBM,International Business Machines,282100,https://logo.clearbit.com/ibm.com,8,143
IDXX,"IDEXX Laboratories, Inc.",10350,https://logo.clearbit.com/idexx.com,1,144
IQV,"IQVIA Holdings, Inc.",82000,https://logo.clearbit.com/iqvia.com,1,145
IR,Ingersoll Rand Inc.,16000,https://logo.clearbit.com/irco.com,25,146
IRM,Iron Mountain Incorporated (Del,25000,https://logo.clearbit.com/ironmountain.com,27,29
ISRG,"Intuitive Surgical, Inc.",9793,https://logo.clearbit.com/intuitive.com,42,122
IT,"Gartner, Inc.",16600,https://logo.clearbit.com/gartner.com,8,61
ITW,Illinois Tool Works Inc.,45000,https://logo.clearbit.com/itw.com,25,147
IVZ,Invesco Ltd,8549,https://logo.clearbit.com/invesco.com,26,82
J,Jacobs Engineering Group Inc.,52000,https://logo.clearbit.com/jacobs.com,89,36
JBHT,"J.B. Hunt Transport Services, I",33045,https://logo.clearbit.com/jbhunt.com,55,148
JCI,Johnson Controls International,101000,https://logo.clearbit.com/johnsoncontrols.com,89,149
JKHY,"Jack Henry & Associates, Inc.",6714,https://logo.clearbit.com/jackhenry.com,8,150
JNJ,Johnson & Johnson,144000,https://logo.clearbit.com/jnj.com,5,151
JNPR,"Juniper Networks, Inc.",10385,https://logo.clearbit.com/juniper.net,61,122
JPM,JP Morgan Chase & Co.,273948,https://logo.clearbit.com/jpmorganchase.com,41,18
K,Kellogg Company,31000,https://logo.clearbit.com/kelloggcompany.com,45,152
KDP,Keurig Dr Pepper Inc.,27000,https://logo.clearbit.com/keurigdrpepper.com,90,153
KEY,KeyCorp,17110,https://logo.clearbit.com/key.com,53,154
KEYS,Keysight Technologies Inc.,14300,https://logo.clearbit.com/keysight.com,78,155
KHC,The Kraft Heinz Company,36000,https://logo.clearbit.com/kraftheinzcompany.com,45,142
KIM,Kimco Realty Corporation,606,https://logo.clearbit.com/kimcorealty.com,77,156
KLAC,KLA Corporation,11300,https://logo.clearbit.com/kla.com,23,157
KMB,Kimberly-Clark Corporation,45000,https://logo.clearbit.com/kimberly-clark.com,54,36
KMI,"Kinder Morgan, Inc.",10529,https://logo.clearbit.com/kindermorgan.com,91,32
KMX,CarMax Inc,32647,https://logo.clearbit.com/carmax.com,60,81
KO,Coca-Cola Company (The),79000,https://logo.clearbit.com/coca-colacompany.com,90,82
KR,Kroger Company (The),420000,https://logo.clearbit.com/thekrogerco.com,92,74
L,Loews Corporation,10340,https://logo.clearbit.com/loews.com,21,18
LDOS,"Leidos Holdings, Inc.",43000,https://logo.clearbit.com/leidos.com,8,124
LEN,Lennar Corporation,10753,https://logo.clearbit.com/lennar.com,67,54
LH,Laboratory Corporation of Ameri,75000,https://logo.clearbit.com/labcorp.com,1,158
LHX,"L3Harris Technologies, Inc.",47000,https://logo.clearbit.com/l3harris.com,40,159
LIN,Linde plc,72327,https://logo.clearbit.com/linde.com,20,160
LKQ,LKQ Corporation,46000,https://logo.clearbit.com/lkqcorp.com,32,11
LLY,Eli Lilly and Company,35000,https://logo.clearbit.com/lilly.com,5,77
LMT,Lockheed Martin Corporation,114000,https://logo.clearbit.com/lockheedmartin.com,40,139
LNC,Lincoln National Corporation,10848,https://logo.clearbit.com/lfg.com,16,161
LNT,Alliant Energy Corporation,3313,https://logo.clearbit.com/alliantenergy.com,14,162
LOW,"Lowe's Companies, Inc.",200000,https://logo.clearbit.com/lowes.com,82,163
LRCX,Lam Research Corporation,16900,https://logo.clearbit.com/lamresearch.com,23,107
LUMN,"Lumen Technologies, Inc.",36000,https://logo.clearbit.com/lumen.com,93,164
LUV,Southwest Airlines Company,58865,https://logo.clearbit.com/southwest.com,2,36
LVS,Las Vegas Sands Corp.,44500,https://logo.clearbit.com/sands.com,66,165
LW,"Lamb Weston Holdings, Inc.",7800,https://logo.clearbit.com/lambweston.com,45,166
LYB,LyondellBasell Industries NV,19100,https://logo.clearbit.com/lyondellbasell.com,20,32
LYV,"Live Nation Entertainment, Inc.",10200,https://logo.clearbit.com/livenationentertainment.com,56,167
MA,Mastercard Incorporated,24000,https://logo.clearbit.com/mastercard.com,39,168
MAA,Mid-America Apartment Communiti,2429,https://logo.clearbit.com/maac.com,36,169
MAR,Marriott International,120000,https://logo.clearbit.com/marriott.com,83,139
MAS,Masco Corporation,20000,https://logo.clearbit.com/masco.com,46,170
MCD,McDonald's Corporation,100000,https://logo.clearbit.com/corporate.mcdonalds.com,58,11
MCHP,Microchip Technology Incorporat,19500,https://logo.clearbit.com/microchip.com,10,171
MCK,McKesson Corporation,59000,https://logo.clearbit.com/mckesson.com,6,56
MCO,Moody's Corporation,13460,https://logo.clearbit.com/moodys.com,48,18
MDLZ,"Mondelez International, Inc.",79000,https://logo.clearbit.com/mondelezinternational.com,86,11
MDT,Medtronic plc.,90000,https://logo.clearbit.com/medtronic.com,7,8
MET,"MetLife, Inc.",,https://logo.clearbit.com/metlife.com,16,18
META,"Meta Platforms, Inc.",,,,
MGM,MGM Resorts International,52000,https://logo.clearbit.com/mgmresorts.com,66,165
MHK,"Mohawk Industries, Inc.",43000,https://logo.clearbit.com/mohawkind.com,74,172
MKC,"McCormick & Company, Incorporat",14000,https://logo.clearbit.com/mccormickcorporation.com,45,173
MKTX,"MarketAxess Holdings, Inc.",689,https://logo.clearbit.com/marketaxess.com,80,18
MLM,"Martin Marietta Materials, Inc.",10000,https://logo.clearbit.com/martinmarietta.com,94,3
MMC,"Marsh & McLennan Companies, Inc",83000,https://logo.clearbit.com/mmc.com,19,18
MMM,3M Company,95000,https://logo.clearbit.com/3m.com,84,104
MNST,Monster Beverage Corporation,3458,https://logo.clearbit.com/monsterbevcorp.com,90,174
MO,"Altria Group, Inc.",6000,https://logo.clearbit.com/altria.com,95,81
MOH,Molina Healthcare Inc,14000,https://logo.clearbit.com/molinahealthcare.com,57,175
MOS,Mosaic Company (The),12525,https://logo.clearbit.com/mosaicco.com,52,176
MPC,Marathon Petroleum Corporation,17700,https://logo.clearbit.com/marathonpetroleum.com,96,177
MPWR,"Monolithic Power Systems, Inc.",2773,https://logo.clearbit.com/monolithicpower.com,10,178
MRK,"Merck & Company, Inc.",67000,https://logo.clearbit.com/merck.com,5,179
MRNA,"Moderna, Inc.",2700,https://logo.clearbit.com/modernatx.com,87,20
MRO,Marathon Oil Corporation,1531,https://logo.clearbit.com/marathonoil.com,30,32
MS,Morgan Stanley,76541,https://logo.clearbit.com/morganstanley.com,80,18
MSCI,MSCI Inc,4361,https://logo.clearbit.com/msci.com,48,18
MSFT,Microsoft Corporation,181000,https://logo.clearbit.com/microsoft.com,9,180
MSI,"Motorola Solutions, Inc.",18700,https://logo.clearbit.com/motorolasolutions.com,61,11
MTB,M&T Bank Corporation,22000,https://logo.clearbit.com/www3.mtb.com,53,181
MTCH,"Match Group, Inc.",2500,https://logo.clearbit.com/mtch.com,79,36
MTD,"Mettler-Toledo International, I",15600,https://logo.clearbit.com/mt.com,1,15
MU,"Micron Technology, Inc.",44000,https://logo.clearbit.com/micron.com,10,182
NCLH,Norwegian Cruise Line Holdings,34700,https://logo.clearbit.com/nclhltd.com,43,54
NDAQ,"Nasdaq, Inc.",5814,https://logo.clearbit.com/nasdaq.com,48,18
NDSN,Nordson Corporation,7100,https://logo.clearbit.com/nordson.com,25,183
NEE,"NextEra Energy, Inc.",15000,https://logo.clearbit.com/nexteraenergy.com,14,184
NEM,Newmont Corporation,14400,https://logo.clearbit.com/newmont.com,97,99
NFLX,"Netflix, Inc.",11300,https://logo.clearbit.com/netflix.com,56,185
NI,NiSource Inc,7272,https://logo.clearbit.com/nisource.com,34,186
NKE,"Nike, Inc.",73300,https://logo.clearbit.com/nike.com,98,187
